2 4536.0  sell  2023.07.16 22:00:00 1689544800002
4 4536.0  sell  2023.07.16 22:00:00 1689544800020
1 4536.0  sell  2023.07.16 22:00:00 1689544800020
1 4536.0  sell  2023.07.16 22:00:00 1689544800020
1 4535.75  sell  2023.07.16 22:00:00 1689544800041
1 4535.75  sell  2023.07.16 22:00:00 1689544800041
1 4535.75  sell  2023.07.16 22:00:00 1689544800041
1 4535.75  sell  2023.07.16 22:00:00 1689544800041
1 4535.75  buy  2023.07.16 22:00:00 1689544800049
5 4535.75  buy  2023.07.16 22:00:00 1689544800049
1 4535.75  buy  2023.07.16 22:00:00 1689544800049
1 4535.5  sell  2023.07.16 22:00:00 1689544800217
1 4535.5  sell  2023.07.16 22:00:00 1689544800217
1 4535.75  buy  2023.07.16 22:00:00 1689544800227
3 4535.75  buy  2023.07.16 22:00:00 1689544800227
2 4535.75  buy  2023.07.16 22:00:00 1689544800227
1 4535.75  buy  2023.07.16 22:00:00 1689544800227
1 4535.75  buy  2023.07.16 22:00:00 1689544800227
1 4535.75  buy  2023.07.16 22:00:00 1689544800436
10 4535.5  sell  2023.07.16 22:00:00 1689544800535
9 4535.5  sell  2023.07.16 22:00:00 1689544800590
1 4535.75  buy  2023.07.16 22:00:00 1689544800630
1 4535.75  buy  2023.07.16 22:00:00 1689544800630
30 4535.5  sell  2023.07.16 22:00:00 1689544800744
1 4535.5  sell  2023.07.16 22:00:00 1689544800855
7 4535.5  sell  2023.07.16 22:00:00 1689544800855
6 4535.5  sell  2023.07.16 22:00:00 1689544800856
1 4535.5  sell  2023.07.16 22:00:00 1689544800856
1 4535.5  buy  2023.07.16 22:00:00 1689544800865
1 4535.5  buy  2023.07.16 22:00:00 1689544800981
6 4535.25  sell  2023.07.16 22:00:00 1689544800981
3 4535.25  sell  2023.07.16 22:00:00 1689544800981
3 4535.5  buy  2023.07.16 22:00:01 1689544801042
2 4535.5  buy  2023.07.16 22:00:01 1689544801120
2 4535.5  buy  2023.07.16 22:00:01 1689544801120
1 4535.5  buy  2023.07.16 22:00:01 1689544801120
1 4535.25  sell  2023.07.16 22:00:01 1689544801227
1 4535.5  buy  2023.07.16 22:00:01 1689544801228
1 4535.5  buy  2023.07.16 22:00:01 1689544801228
2 4535.25  sell  2023.07.16 22:00:01 1689544801309
1 4535.5  buy  2023.07.16 22:00:01 1689544801309
2 4535.25  sell  2023.07.16 22:00:01 1689544801309
2 4535.25  sell  2023.07.16 22:00:01 1689544801309
1 4535.25  sell  2023.07.16 22:00:01 1689544801309
1 4535.25  sell  2023.07.16 22:00:01 1689544801309
1 4535.25  sell  2023.07.16 22:00:01 1689544801309
1 4535.25  sell  2023.07.16 22:00:01 1689544801309
1 4535.25  buy  2023.07.16 22:00:01 1689544801351
1 4535.0  sell  2023.07.16 22:00:01 1689544801409
1 4535.0  sell  2023.07.16 22:00:01 1689544801409
1 4534.75  buy  2023.07.16 22:00:01 1689544801417
1 4534.75  buy  2023.07.16 22:00:01 1689544801473
1 4534.75  buy  2023.07.16 22:00:01 1689544801473
1 4534.75  buy  2023.07.16 22:00:01 1689544801473
1 4534.5  sell  2023.07.16 22:00:01 1689544801564
1 4534.5  sell  2023.07.16 22:00:01 1689544801564
1 4534.75  buy  2023.07.16 22:00:02 1689544802020
2 4534.75  buy  2023.07.16 22:00:02 1689544802020
1 4534.75  buy  2023.07.16 22:00:02 1689544802020
2 4534.75  buy  2023.07.16 22:00:02 1689544802020
1 4534.75  buy  2023.07.16 22:00:02 1689544802020
1 4534.75  buy  2023.07.16 22:00:02 1689544802020
1 4534.5  sell  2023.07.16 22:00:02 1689544802069
1 4534.5  sell  2023.07.16 22:00:02 1689544802191
1 4534.5  sell  2023.07.16 22:00:02 1689544802191
1 4534.5  sell  2023.07.16 22:00:02 1689544802191
1 4534.5  sell  2023.07.16 22:00:02 1689544802241
1 4534.25  sell  2023.07.16 22:00:02 1689544802241
1 4534.75  buy  2023.07.16 22:00:02 1689544802457
1 4534.75  buy  2023.07.16 22:00:02 1689544802476
1 4534.75  buy  2023.07.16 22:00:02 1689544802476
1 4534.75  buy  2023.07.16 22:00:02 1689544802476
1 4534.75  buy  2023.07.16 22:00:02 1689544802476
